,TrainAcc,TestAcc,TrainF1,TestF1
40X,91.27,84.98,0.917180533156247,0.9142857142857141
100X,88.4,86.14,0.891740550629958,0.926829268292683
200X,90.56,87.64,0.9123246958298504,0.909090909090909
400X,87.715,84.96,0.8812641956217078,0.9142857142857141
