,TrainAcc,TestAcc,TrainF1,TestF1
40X,98.2,94.54,0.98282770463652,0.9714285714285716
100X,93.98500000000003,92.44,0.9428530711130112,0.9714285714285716
200X,96.67,95.0,0.9685374149659866,1.0
400X,95.715,93.36000000000003,0.9578019597222904,0.9743589743589745
