,TrainAcc,TestAcc,TrainF1,TestF1
40X,90.2,87.7,0.9073023079833522,0.9411764705882354
100X,90.81,88.54,0.9134080844247618,0.9696969696969694
200X,93.295,90.62,0.9369326999952974,0.9714285714285716
400X,93.1,89.51999999999998,0.9321600629239996,0.9729729729729728
