,TrainAcc,TestAcc,TrainF1,TestF1
40X,93.61000000000003,90.48,0.938980137509549,0.9375
100X,95.685,92.18,0.95903156895324,0.9473684210526316
200X,94.32,92.36000000000003,0.9462375769048744,0.9523809523809524
400X,94.325,90.42,0.9442287848262984,0.923076923076923
